Datetime,power_limit
6/1/18 0:00,20
6/1/18 0:05,20
6/1/18 0:10,20
6/1/18 0:15,20
6/1/18 0:20,20
6/1/18 0:25,20
6/1/18 0:30,20
6/1/18 0:35,20
6/1/18 0:40,20
6/1/18 0:45,20
6/1/18 0:50,20
6/1/18 0:55,20
6/1/18 1:00,20
6/1/18 1:05,20
6/1/18 1:10,20
6/1/18 1:15,20
6/1/18 1:20,20
6/1/18 1:25,20
6/1/18 1:30,20
6/1/18 1:35,20
6/1/18 1:40,20
6/1/18 1:45,20
6/1/18 1:50,20
6/1/18 1:55,20
6/1/18 2:00,20
6/1/18 2:05,20
6/1/18 2:10,20
6/1/18 2:15,20
6/1/18 2:20,20
6/1/18 2:25,20
6/1/18 2:30,20
6/1/18 2:35,20
6/1/18 2:40,20
6/1/18 2:45,20
6/1/18 2:50,20
6/1/18 2:55,20
6/1/18 3:00,20
6/1/18 3:05,20
6/1/18 3:10,20
6/1/18 3:15,20
6/1/18 3:20,20
6/1/18 3:25,20
6/1/18 3:30,20
6/1/18 3:35,20
6/1/18 3:40,20
6/1/18 3:45,20
6/1/18 3:50,20
6/1/18 3:55,20
6/1/18 4:00,20
6/1/18 4:05,20
6/1/18 4:10,20
6/1/18 4:15,20
6/1/18 4:20,20
6/1/18 4:25,20
6/1/18 4:30,20
6/1/18 4:35,20
6/1/18 4:40,20
6/1/18 4:45,20
6/1/18 4:50,20
6/1/18 4:55,20
6/1/18 5:00,20
6/1/18 5:05,20
6/1/18 5:10,20
6/1/18 5:15,20
6/1/18 5:20,20
6/1/18 5:25,20
6/1/18 5:30,20
6/1/18 5:35,20
6/1/18 5:40,20
6/1/18 5:45,20
6/1/18 5:50,20
6/1/18 5:55,20
6/1/18 6:00,20
6/1/18 6:05,20
6/1/18 6:10,20
6/1/18 6:15,20
6/1/18 6:20,20
6/1/18 6:25,20
6/1/18 6:30,20
6/1/18 6:35,20
6/1/18 6:40,20
6/1/18 6:45,20
6/1/18 6:50,20
6/1/18 6:55,20
6/1/18 7:00,20
6/1/18 7:05,20
6/1/18 7:10,20
6/1/18 7:15,20
6/1/18 7:20,20
6/1/18 7:25,20
6/1/18 7:30,20
6/1/18 7:35,20
6/1/18 7:40,20
6/1/18 7:45,20
6/1/18 7:50,20
6/1/18 7:55,20
6/1/18 8:00,20
6/1/18 8:05,20
6/1/18 8:10,20
6/1/18 8:15,20
6/1/18 8:20,20
6/1/18 8:25,20
6/1/18 8:30,20
6/1/18 8:35,20
6/1/18 8:40,20
6/1/18 8:45,20
6/1/18 8:50,20
6/1/18 8:55,20
6/1/18 9:00,20
6/1/18 9:05,20
6/1/18 9:10,20
6/1/18 9:15,20
6/1/18 9:20,20
6/1/18 9:25,20
6/1/18 9:30,20
6/1/18 9:35,20
6/1/18 9:40,20
6/1/18 9:45,20
6/1/18 9:50,20
6/1/18 9:55,20
6/1/18 10:00,20
6/1/18 10:05,20
6/1/18 10:10,20
6/1/18 10:15,20
6/1/18 10:20,20
6/1/18 10:25,20
6/1/18 10:30,20
6/1/18 10:35,20
6/1/18 10:40,20
6/1/18 10:45,20
6/1/18 10:50,20
6/1/18 10:55,20
6/1/18 11:00,20
6/1/18 11:05,20
6/1/18 11:10,20
6/1/18 11:15,20
6/1/18 11:20,20
6/1/18 11:25,20
6/1/18 11:30,20
6/1/18 11:35,20
6/1/18 11:40,20
6/1/18 11:45,20
6/1/18 11:50,20
6/1/18 11:55,20
6/1/18 12:00,20
6/1/18 12:05,20
6/1/18 12:10,20
6/1/18 12:15,20
6/1/18 12:20,20
6/1/18 12:25,20
6/1/18 12:30,20
6/1/18 12:35,20
6/1/18 12:40,20
6/1/18 12:45,20
6/1/18 12:50,20
6/1/18 12:55,20
6/1/18 13:00,20
6/1/18 13:05,20
6/1/18 13:10,20
6/1/18 13:15,20
6/1/18 13:20,20
6/1/18 13:25,20
6/1/18 13:30,20
6/1/18 13:35,20
6/1/18 13:40,20
6/1/18 13:45,20
6/1/18 13:50,20
6/1/18 13:55,20
6/1/18 14:00,8
6/1/18 14:05,8
6/1/18 14:10,8
6/1/18 14:15,8
6/1/18 14:20,8
6/1/18 14:25,8
6/1/18 14:30,8
6/1/18 14:35,8
6/1/18 14:40,8
6/1/18 14:45,8
6/1/18 14:50,8
6/1/18 14:55,8
6/1/18 15:00,8
6/1/18 15:05,8
6/1/18 15:10,8
6/1/18 15:15,8
6/1/18 15:20,8
6/1/18 15:25,8
6/1/18 15:30,8
6/1/18 15:35,8
6/1/18 15:40,8
6/1/18 15:45,8
6/1/18 15:50,8
6/1/18 15:55,8
6/1/18 16:00,8
6/1/18 16:05,8
6/1/18 16:10,8
6/1/18 16:15,8
6/1/18 16:20,8
6/1/18 16:25,8
6/1/18 16:30,8
6/1/18 16:35,8
6/1/18 16:40,8
6/1/18 16:45,8
6/1/18 16:50,8
6/1/18 16:55,8
6/1/18 17:00,20
6/1/18 17:05,20
6/1/18 17:10,20
6/1/18 17:15,20
6/1/18 17:20,20
6/1/18 17:25,20
6/1/18 17:30,20
6/1/18 17:35,20
6/1/18 17:40,20
6/1/18 17:45,20
6/1/18 17:50,20
6/1/18 17:55,20
6/1/18 18:00,20
6/1/18 18:05,20
6/1/18 18:10,20
6/1/18 18:15,20
6/1/18 18:20,20
6/1/18 18:25,20
6/1/18 18:30,20
6/1/18 18:35,20
6/1/18 18:40,20
6/1/18 18:45,20
6/1/18 18:50,20
6/1/18 18:55,20
6/1/18 19:00,20
6/1/18 19:05,20
6/1/18 19:10,20
6/1/18 19:15,20
6/1/18 19:20,20
6/1/18 19:25,20
6/1/18 19:30,20
6/1/18 19:35,20
6/1/18 19:40,20
6/1/18 19:45,20
6/1/18 19:50,20
6/1/18 19:55,20
6/1/18 20:00,20
6/1/18 20:05,20
6/1/18 20:10,20
6/1/18 20:15,20
6/1/18 20:20,20
6/1/18 20:25,20
6/1/18 20:30,20
6/1/18 20:35,20
6/1/18 20:40,20
6/1/18 20:45,20
6/1/18 20:50,20
6/1/18 20:55,20
6/1/18 21:00,20
6/1/18 21:05,20
6/1/18 21:10,20
6/1/18 21:15,20
6/1/18 21:20,20
6/1/18 21:25,20
6/1/18 21:30,20
6/1/18 21:35,20
6/1/18 21:40,20
6/1/18 21:45,20
6/1/18 21:50,20
6/1/18 21:55,20
6/1/18 22:00,20
6/1/18 22:05,20
6/1/18 22:10,20
6/1/18 22:15,20
6/1/18 22:20,20
6/1/18 22:25,20
6/1/18 22:30,20
6/1/18 22:35,20
6/1/18 22:40,20
6/1/18 22:45,20
6/1/18 22:50,20
6/1/18 22:55,20
6/1/18 23:00,20
6/1/18 23:05,20
6/1/18 23:10,20
6/1/18 23:15,20
6/1/18 23:20,20
6/1/18 23:25,20
6/1/18 23:30,20
6/1/18 23:35,20
6/1/18 23:40,20
6/1/18 23:45,20
6/1/18 23:50,20
6/1/18 23:55,20